Key	Speaker	English	French	Italien		English rework ?	
PAUSE_QUIT		<sketchy>Quit	<sketchy>Quitter				
INTERACT_UI_001		TALK!	PARLER!				
INTERACT_UI_002		{INTERACT}	{INTERACT}				
INTERACT_UI_003		BUY!	ACHETER!				
							
							
							
TRAILER							
TRAILER_DIALOG_001	<sketchy>Sonki	So... All I have to do is go around the world finding the johnnies ?	Donc en gros... Là je dois faire le tour du monde et trouver des Johnnies ?				
TRAILER_DIALOG_002	<sketchy>Fisherman	Relax dude, you got it in the bag.	Relax poto, tu fais ça les doigts dans le nez.				
							
TRAILER_DIALOG_003	<sketchy>Fisherman	...	...				
TRAILER_DIALOG_004	<sketchy>Sonki	...	...				
TRAILER_DIALOG_005	<sketchy>Fisherman	Are you winning son?	Alors fiston ça baigne ?				
TRAILER_DIALOG_006	<sketchy>Sonki	SHUT THE FU	BAH NON VIEUX SCHN				
							
							
							
							
							
							
Fisherman							
FISHERMAN_DIALOG_001	<sketchy>Sonki	Old man! Help me I became a fish!	Hé le vieux ! Faut que tu m'aide ! J'me suis fait transformer en poisson !				
FISHERMAN_DIALOG_002	<sketchy>Old Fisherman	Haha <wave> talking fish  </>good one!	Haha, <wave>un poisson qui parle</>, on aura tout vu !				
FISHERMAN_DIALOG_003	<sketchy>Sonki	Dude it's me Sonki!	Mais mec c'est moi, Sonki !			Dude it's me Sonki!	
FISHERMAN_DIALOG_004	<sketchy>Old Fisherman	No way! You're not stuck anymore congrats!	Mais nan jure! T'es plus bloqué du coup, bien joué !				
FISHERMAN_DIALOG_005	<sketchy>Sonki	Yeah sure but I have another problem.	Ouais bon certes mais j'ai un autre problème maintenant.				
FISHERMAN_DIALOG_006	<sketchy>Old Fisherman	Which is ?	Ah bon ?				
FISHERMAN_DIALOG_007	<sketchy>Sonki	I'M A FREAKING FISH NOW!	BAH J'SUIS DEVENU UN POISSON EN FAIT!			I'M A FREAKING FISH DUH! (pour éviter la répétition avec sa phrase précédente)	
FISHERMAN_DIALOG_008	<sketchy>Old Fisherman	Oh right right... I've heard about this before. People transforming into fish.	Ah oui maintenant que tu l'dis... J'ai déjà vu ça, des gens qui s'transforment en poisson...			Oh right right... I've heard about this before. People transforming into fish.	
FISHERMAN_DIALOG_009	<sketchy>Sonki	Really ? There's a way to reverse it you think?	Sérieux ? Tu penses que y'a moyen que je redevienne comme avant ?				
FISHERMAN_DIALOG_010	<sketchy>Old Fisherman	Not sure maybe Good Joe knows about it.	Aucune idée mais peut-être que Good Joe en sait plus.			Not sure (éviter repet) but maybe Good Joe might know something about it.	
FISHERMAN_DIALOG_011	<sketchy>Sonki	Who's that guy ?	C'est qui lui ?				
FISHERMAN_DIALOG_012	<sketchy>Old Fisherman	Nobody just the freaking sun. Wake up Sonki!	Oh personne d'important en vrai, juste le soleil. T'es pas réveillé toi !				
FISHERMAN_DIALOG_013	<sketchy>Sonki	So you want me to go talk to the sun !? How is that even possible !?	Donc tu veux que j'aille parler au soleil ?! Comment j'suis censé faire ça?!				
FISHERMAN_DIALOG_014	<sketchy>Old Fisherman	You just have to shout really loud.. Nah just playing. Go ask Volcanino for help.	Bah t'as juste à crier fort... Nan j'te fais marcher, mais t'as qu'à d'mander de l'aide à Volcanino.			You just have to shout really loud.. Nah just playing. Go ask Volcanino for help.	
FISHERMAN_DIALOG_015	<sketchy>Sonki	You know Volcanino's hearing is bad right ? There must be some other way.	Tu sais que Volcanino est dur d'oreille hein ? Y'a forcément un autre moyen.			You know Volcanino's hearing is bad right ? There must be some other way.	
FISHERMAN_DIALOG_016	<sketchy>Old Fisherman	Maybe now that you can move you could get into Volcanino's core and...	Ben maintenant qu'tu peux enfin te déplacer librement, tu pourrais peut-être aller en son coeur et... 				
FISHERMAN_DIALOG_017	<sketchy>Sonki	And then he'll shoot me into the sky! Genius!	...Et il pourra me projeter dans le ciel ! C'est du génie !				
FISHERMAN_DIALOG_018	<sketchy>Old Fisherman	Thanks.	Mais de rien.				
FISHERMAN_DIALOG_019	<sketchy>Sonki	Sarcasm.	C'était du sarcasme.				
FISHERMAN_DIALOG_020	<sketchy>Old Fisherman	Not cool but listen. It's not like you have any other choice.	Pas cool mais bon écoute, c'est pas comme si t'avais d'autres options.			Not cool but listen. It's not like you have any other choice.	
FISHERMAN_DIALOG_021	<sketchy>Sonki	Fine fine I'll get there!	C'est bon j'ai compris, j'vais y aller hein.				
							
FISHERMAN_DIALOG_022	<sketchy>Old Fisherman	D'you figure out how to get to the core yet?	Alors, t'as trouvé comment aller au coeur d'Volcanino ?			D'you figure out how to get to the core yet?	
							
FISHERMAN_DIALOG_023	<sketchy>Sonki	Hey old man look at those new wings!	Hé le vieux ! Guette mes nouvelles ailes !				
FISHERMAN_DIALOG_024	<sketchy>Old Fisherman	Nice going Sonki Now getting to Volcanino's core is just a matter of time!	Bien vu ça Sonki, avec elles se rendre au coeur de Volcanino s'ra simple comme bonjour !			Nice going Sonki! Now getting to Volcanino's core is just a matter of time!	
							
Volcanino							
VOLCANINO_DIALOG_001	<sketchy>Sonki	Hellooo !? Can you hear me ?	Héhoooo !? Tu m'entends ?				
VOLCANINO_DIALOG_002	<sketchy>Volcanino	...	...				
VOLCANINO_DIALOG_003	<sketchy>Sonki	HELLO !!!!?	ALLOOOO !!!!?				
VOLCANINO_DIALOG_004	<sketchy>Volcanino	...	...				
VOLCANINO_DIALOG_005	<sketchy>Sonki	Yep. Classic Volcanino.	Ouaip, du Volcanino tout craché ça.				
							
							
							
							
							
							
							
Abilities							
ABILITY_GRIND_DIALOG_001	<wave>My Mind	Congratulations.	Félicitations !			Congratulations!	je prefères le point, ca fais bizarrement solennel en mode sonki se prend grave au serieux
ABILITY_GRIND_DIALOG_002	<wave>My Mind	You just obtained the <wave>Frutti WIngs!</>	Tu obtiens les <wave>Ailes Fruttis !</>			You just obtained the <wave>Frutti Wings!</>	
ABILITY_GRIND_DIALOG_003	<wave>My Mind	You can now interact with <wave> Rails! </>	Tu peux maintenant intéragir avec les <wave>Rails !</>				
ABILITY_GRIND_DIALOG_004	<wave>My Mind	Just go near a glowing rail and grind away!	Approche toi d'un rail est c'est parti!				
ABILITY_GRIND_DIALOG_005	<wave>My Mind	You can also <wave>Dash</> by pressing {STRAF_LEFT} or {STRAF_RIGHT}!	Tu peux aussi faire un <wave>Dash</> en appuyant sur {STRAF_LEFT} ou {STRAF_RIGHT} !			You can also perform a <wave>Dash</> by pressing {STRAF_LEFT} or {STRAF_RIGHT}!	
ABILITY_GRIND_DIALOG_006	<wave>My Mind	Lastly you can change direction on a rail by pressing {REVERSE_GRIND}!	Enfin, tu peux changer de direction sur un rail en appuyant sur {REVERSE_GRIND}!				
							
ABILITY_STOMP_DIALOG_001	<wave>My Mind	Congratulations.	Félicitations !			Congratulations!	
ABILITY_STOMP_DIALOG_002	<wave>My Mind	You just obtained the <wave>Baby Floaters!</>	Tu obtiens les <wave>Bouées Bébé !</>			You just obtained the <wave>Baby Floaters!</>	
ABILITY_STOMP_DIALOG_003	<wave>My Mind	With them you can now <wave>Dive!</>	Tu peux maintenant plonger.			With them you can now <wave>Dive!</>	
ABILITY_STOMP_DIALOG_004	<wave>My Mind	Just press {STOMP} while in the air to dive in a straight line toward the ground!	Appuie sur {STOMP} en étant dans les airs pour plonger !			Just press {STOMP} while in the air to dive!	
							
ABILITY_DOUBLEJUMP_DIALOG_001	<wave>My Mind	Congratulations.	Félicitations !			Congratulations!	
ABILITY_DOUBLEJUMP_DIALOG_002	<wave>My Mind	You just obtained the <wave>Red Glasses!</>	Tu obtiens les <wave>Binocles Rouges !</>			You just obtained the <wave>Red Glasses!</>	
ABILITY_DOUBLEJUMP_DIALOG_003	<wave>My Mind	With those you can perform a <wave>Target Jump!</>	Tu peux maintenant effectuer un saut ciblé.			With those you can perform a <wave>Target Jump!</>	
ABILITY_DOUBLEJUMP_DIALOG_004	<wave>My Mind	Just press {JUMP} while in the air to do a double jump!	Appuie sur {JUMP} dans les airs pour faire un Double Saut !			You can also press {JUMP} while in the air to do a Double Jump when no targets are in sight! (PASSER CE TEXTE A LA FIN DE L'EXPLICATION)	
ABILITY_DOUBLEJUMP_DIALOG_005	<wave>My Mind	If you have a valid target in sight you'll perform a target jump instead!	Si tu es assez près d'une cible valide, tu feras un Saut Ciblé à la place !			If you have a valid target in sight you'll perform a Target Jump.	
ABILITY_DOUBLEJUMP_DIALOG_006	<wave>My Mind	Valid target have a small Icon appearing on top of them when in your line of sight.	Les cibles valides sont survolées d'une petite icône quand tu es assez proche.			Valid targets have a small Icon appearing on top of them when in your line of sight.	
							
ABILITY_CAT_DIALOG_001	<wave>My Mind	Congratulations.	Félicitations !			Congratulations!	
ABILITY_CAT_DIALOG_002	<wave>My Mind	You just obtained the <wave>Cat Costume!</>	Tu obtiens le <wave>Costume de Chat !</>			You just obtained the <wave>Cat Costume!</>	
ABILITY_CAT_DIALOG_003	<wave>My Mind	Just press {CAT} while on the ground. Trust me!	Appuie sur {CAT} en étant au sol. Fais-moi confiance !				
ABILITY_CAT_DIALOG_004	<wave>My Mind	Also if you've reached this point : Congratulations! You have completed the demo!	D'ailleurs, si tu es arrivé jusqu'ici, c'est que tu as finis la démo ! Bravo à toi !			Also if you've reached this point : Congratulations! You have completed the demo!	
ABILITY_CAT_DIALOG_005	<wave>My Mind	Don't forget to wishlist on Steam! Thank you!	Merci de Wishlist le jeu sur steam!				
							
ABILITY_DYNAMO_DIALOG_001	<wave>My Mind	Congratulations.	Félicitations !			Congratulations!	
ABILITY_DYNAMO_DIALOG_002	<wave>My Mind	You just obtained the <wave>Dynamo Gears.</>	Tu obtiens la <wave>Dynamo !</>			Congratulations!	
ABILITY_DYNAMO_DIALOG_003	<wave>My Mind	With these, you can become charged!	Avec ça, vous pouvez devenir électrifié !			Congratulations!	
ABILITY_DYNAMO_DIALOG_004	<wave>My Mind	Just spin for a while and wait; you'll start glowing green!	Il suffit de Spin pendant un temps pour se charger en électricité !			Congratulations!	
ABILITY_DYNAMO_DIALOG_005	<wave>My Mind	After that, just double-jump through the metal grids!	Après ça, un Double Saut permet de traverser les grilles de métal !			Congratulations!	
							
RedMoai							
REDMOAI_DIALOG_001	<sketchy>Red Moai	Sup' dude	Yo mec.			Sup' dude.	
REDMOAI_DIALOG_002	<sketchy>Sonki	Yo Stone Guy.	Yo la pierre.			Yo Stone Guy.	
REDMOAI_DIALOG_003	<sketchy>Red Moai	Dude that's incensitive.	Mec c'est grave offensant.				
REDMOAI_DIALOG_004	<sketchy>Sonki	My bad bro.	Pardon frérot.				
REDMOAI_DIALOG_005	<sketchy>Red Moai	Anyway you see those <wave>Lilypads </>over there? just try and go near them.	Bref tu vois ces <wave>nénuphars</> là-bas ? Essaye de t'en approcher.			Anyway you see those <wave>Lilypads </>over there? just try and go near them.	
REDMOAI_DIALOG_006	<sketchy>Sonki	Ok..?	Ok...?				
REDMOAI_DIALOG_007	<sketchy>Red Moai	Just trust me dude.	Mec t'inquiète.				
							
REDMOAI_DIALOG_008	<sketchy>Red Moai	Anytime you see <wave>lilypads </> just go near them trust.	Dès que tu vois des <wave>nénuphars</>, approche toi d'eux t'inquiète.				
							
REDMOAI_DIALOG_009	<sketchy>Red Moai	Nice wings you got there bud..	Mec c'est des belles ailes que t'as là...				
REDMOAI_DIALOG_010	<sketchy>Sonki	Thx	Merci.				
REDMOAI_DIALOG_011	<sketchy>Red Moai	You know that you can grind on road borders if you dash or jump on them? You should try it.	Tu sais qu'avec tu peux surfer sur les bords de routes si tu saute ou dash dessus ? Essaye tu verras.			You know that you can grind on road borders if you dash or jump on them? You should try it.	
							
GreenMoai							
GREENMOAI_DIALOG_001	<sketchy>Green Moai	Sup' bro	Yo mec.				
GREENMOAI_DIALOG_002	<sketchy>Sonki	Yo Stone Guy.	Yo la pierre.				
GREENMOAI_DIALOG_003	<sketchy>Green Moai	Haha funny.	Ha ha marrant.				
GREENMOAI_DIALOG_004	<sketchy>Sonki	My bad.	My bad.				
GREENMOAI_DIALOG_005	<sketchy>Green Moai	Anyway you see those <wave> Rocks </> over there? Just try and Spin near them.	Bref. Tu vois ces <wave>caillasses</> là ? Essaye de tourbilloner dessus.				
GREENMOAI_DIALOG_006	<sketchy>Sonki	Spin ???	Tourbilloner ?				
GREENMOAI_DIALOG_007	<sketchy>Green Moai	Yep, just press {SPIN} and start the mayhem my guy!	Ouep, appuie sur {SPIN} et fous le bordel mon pote!				
							
GREENMOAI_DIALOG_008	<sketchy>Green Moai	Don't forget, press {SPIN} to spin destroy rocks and such!	Oublie pas, appuie sur {SPIN} pour tourbilloner et détruire des trucs!				
							
							
							
							
							
							
RedCrab							
REDCRAB_DIALOG_001	<sketchy>Sonki	Excuse me pal?	J'peux t'aider frérot ?				
REDCRAB_DIALOG_002	<sketchy>Red Crab	Hi lad! Interested in visiting the Fruttiger Islands?	Bonjour jeune homme ! Intéressé par les îles Fruttiger ?			Hi lad! Interested in visiting the Fruttiger Islands?	
REDCRAB_DIALOG_003	<sketchy>Sonki	The what ?	Les quoi ?				
REDCRAB_DIALOG_004	<sketchy>Red Crab	Just enter the <wave>ominous purple portal </>over there and  you'll be there in a blink!	Il te suffit d'entrer dans le<wave>sinistre portail violet</> devant toi et t'y seras en un rien de temps !			Just enter the <wave>ominous purple portal</> over there and you'll be there in a blink!	
REDCRAB_DIALOG_005	<sketchy>Sonki	Wait what about the ominous part?	Attends t'as bien dit sinistre ?			Wait what about the ominous part?	
REDCRAB_DIALOG_006	<sketchy>Red Crab	What about it?	Et donc ?			What about it?	
REDCRAB_DIALOG_007	<sketchy>Sonki	Yeah exactly what about it!	Comment ça "et donc" ?!				
REDCRAB_DIALOG_008	<sketchy>Red Crab	...	...				
REDCRAB_DIALOG_009	<sketchy>Sonki	...	...				
REDCRAB_DIALOG_010	<sketchy>Red Crab	Just go inside pal.	Entre juste dedans mec.				
							
REDCRAB_DIALOG_011	<sketchy>Red Crab	Just go inside the portal pal.	Juste entre dans le portail mec.				
							
							
							
PINKCRAB							
PINKCRAB_DIALOG_001	<sketchy>Pink Crab	Hey there! Welcome to the fruttiger islands!	Hé toi là ! Bienvenue aux îles Fruttiger ! 				
PINKCRAB_DIALOG_002	<sketchy>Sonki	Thanks! Nice place.	Merci ! Sympa ici.				
PINKCRAB_DIALOG_003	<sketchy>Pink Crab	Wait it's seems you don't have <wave> frutti wings </> yet don't you ?	Attends mais t'as pas encore récupéré les <wave>Ailes Fruttis</> toi ?				
PINKCRAB_DIALOG_004	<sketchy>Sonki	<wave> Frutti wings ?</>	Les <wave>Ailes Fruttis</> ?				
PINKCRAB_DIALOG_005	<sketchy>Pink Crab	Yep with a pair of thoses you can grind on rails of any kind!	Ouaip grâce à elles tu pourras surfer sur n'importe quel type de rail !				
PINKCRAB_DIALOG_006	<sketchy>Sonki	Dope where can I get them ?	Lourd et je les trouve où ?				
PINKCRAB_DIALOG_007	<sketchy>Pink Crab	I don't know maybe on the islands above ?	J'sais pas peut-être sur les îles plus hautes ?				
PINKCRAB_DIALOG_008	<sketchy>Sonki	Ok thanks dude I'll check it out	Ok merci mec j'irais voir ça.				
							
PINKCRAB_DIALOG_009	<sketchy>Pink Crab	I'd try and fin a way to get on the island above if I were you.	J'essaierai de trouver un moyen d'aller sur les îles au-dessus si j'étais toi.				
							
PINKCRAB_DIALOG_010	<sketchy>Pink Crab	Nice you got your own pairs of wings! What do you think ?	Trop cool tu t'es choppé ta paire d'ailes ! Alors t'en penses quoi ?				
PINKCRAB_DIALOG_011	<sketchy>Sonki	Dude those wings are sick!	Mec ces ailes elles tuent !				
PINKCRAB_DIALOG_012	<sketchy>Pink Crab	Yep and if you press {STRAF_LEFT} or {STRAF_RIGHT} you can dash out of rails too!	Grave, et si tu appuies sur {STRAF_LEFT} ou {STRAF_RIGHT} tu peux même dasher en dehors des rails !				
PINKCRAB_DIALOG_013	<sketchy>Sonki	Thanks for the tip.	Merci du conseil.				
							
PINKCRAB_DIALOG_014	<sketchy>Pink Crab	Press {STRAF_LEFT} or {STRAF_RIGHT} to dash out of rails.	Appuie sur {STRAF_LEFT} ou {STRAF_RIGHT} pour dasher en dehors des rails.				
							
GREENDOLPHIN							
GREENDOLPHIN_DIALOG_001	<sketchy>Green Dolphin	Out of the way slowpoke.	Dégage de mon chemin l'escargot.				
GREENDOLPHIN_DIALOG_002	<sketchy>Sonki	Ok? Rude??	Ok ? Pas cool ??			Ok? Rude??	
							
FRUTTIGERMOAI							
FRUTTIGERMOAI_DIALOG_001	<sketchy>Frutti Moai	Hey dude if you're looking to get up there just continue down this path.	Hé mec si t'essaye d'aller plus haut, suis juste ce chemin.				
FRUTTIGERMOAI_DIALOG_002	<sketchy>Sonki	Alright thanks.	Ca marche merci.				
FRUTTIGERMOAI_DIALOG_003	<sketchy>Frutti Moai	No prob.	Pas de soucis.				
FRUTTIGERMOAI_DIALOG_004	<sketchy>Sonki	...	...				
FRUTTIGERMOAI_DIALOG_005	<sketchy>Frutti Moai	...	...				
FRUTTIGERMOAI_DIALOG_006	<sketchy>Sonki	Nice conversation skills.	T'es doué en conversation toi.			Nice conversation skills.	
							
FRUTTIGERMOAI_DIALOG_007	<sketchy>Frutti Moai	Just get going.	Aller du vent.				
							
FRUTTI TRIBOULI							
TRIBOULI_FRUTTI_DIALOG_001	<sketchy>Relaxed Tribouli	Hi fish! Are you a local ?	Hé le poisson ! T'es de la région ?				
TRIBOULI_FRUTTI_DIALOG_002	<sketchy>Sonki	Hmm no? I just got there ?	Hmmm non ? J'viens d'arriver ?				
TRIBOULI_FRUTTI_DIALOG_003	<sketchy>Relaxed Tribouli	Oh are you on vacation too ?	Oh t'es en vacances aussi ?				
TRIBOULI_FRUTTI_DIALOG_004	<sketchy>Relaxed Tribouli	I just rented this bnb to chill on my day off.	J'ai loué ce bnb pour me détendre sur mon jour de congé.				
TRIBOULI_FRUTTI_DIALOG_005	<sketchy>Sonki	Ok nice I'm glad for you...	Ok content pour toi...				
TRIBOULI_FRUTTI_DIALOG_006	<sketchy>Relaxed Tribouli	Did you know that I got the deal for only 279.99 clams at a stunning 10% off the original price!	D'ailleurs j'ai réussi à le louer pour seulement 279,99 clams grâce à un super bon de réduction de 10% !				
TRIBOULI_FRUTTI_DIALOG_007	<sketchy>Sonki	Ok great?	Ok cool ?				
TRIBOULI_FRUTTI_DIALOG_008	<sketchy>Relaxed Tribouli	Ok the place looks a bit shady but hey a deals a deals right ! I just couldn't pass up.	Bon d'accord l'endroit est un peu louche mais hé je peux pas rater une affaire en or quand j'en vois une !				
TRIBOULI_FRUTTI_DIALOG_009	<sketchy>Sonki	Hmm...	Hmm...				
TRIBOULI_FRUTTI_DIALOG_010	<sketchy>Relaxed Tribouli	And the view is Just WOW! I mean ok maybe his hill kind of obstruct the view but still wow.. right...	Et la vue est juste WOW ! Après bon la falaise cache un peu le paysage mais quand même wow... 'fin j'trouve...				
TRIBOULI_FRUTTI_DIALOG_011	<sketchy>Sonki	Dude are you alright ?	Ca va mon gars ?				
TRIBOULI_FRUTTI_DIALOG_012	<sketchy>Scammed Tribouli	I got scammed and i'm trying to cope... Please leave me be....	J'me suis fait arnaqué mais j'essaye de rester fort... Laisse moi stp...			I got scammed and i'm trying to cope... Please leave me be....	
							
TRIBOULI_FRUTTI_DIALOG_013	<sketchy>Scammed Tribouli	I got scammed and i'm trying to deal with it... Please leave me be....	J'me suis fait arnaqué mais j'essaye de rester fort... Laisse moi stp...				
CAT POSTER							
CATPOSTER_DIALOG_001	<sketchy>Sonki	Haha funi cat!	Haha marrant le chat !				
CATPOSTER_DIALOG_002	<sketchy>Sonki	Wait... Something's missing...	Attends... Il manque un truc...				
							
CATPOSTER_DIALOG_003	<sketchy>Sonki	Don't worry kitty I got the missing piece!	T'inquiète pas le chat j'ai la pièce manquante !				
CATPOSTER_DIALOG_004	<sketchy>Sonki	Here you go!	Et hop !			Here you go!	
CATPOSTER_DIALOG_005	<sketchy>Sonki	Whoa thanks kitty cat!	Woah merci le chat !				
							
CATPOSTER_DIALOG_006	<sketchy>Sonki	He looks so cosy.	Il a l'air bien posé.			He's looks so cosy.	
							
LAVAMOAI							
LAVAMOAI_DIALOG_001	<sketchy>Lava Moai	Hey careful my guy.	Hé fais gaffe gros.			Hey careful my guy.	
LAVAMOAI_DIALOG_002	<sketchy>Sonki	Did you say something ?	Hein tu m'as parlé ?				
LAVAMOAI_DIALOG_003	<sketchy>Lava Moai	You know where you're going ? it's the way to the volcano core here.	Tu vas où là ? Tu sais que t'es sur chemin vers le coeur du volcan ?				
LAVAMOAI_DIALOG_004	<sketchy>Sonki	Yeah I know I need him to shoot me up in the sky.	Ouais je sais j'ai besoin qu'il me projette dans les airs.				
LAVAMOAI_DIALOG_005	<sketchy>Lava Moai	Wtf bro	Mais wsh				
LAVAMOAI_DIALOG_006	<sketchy>Sonki	I know but I have now other choice as insane as it sound.	Oui bah j'ai pas d'autre choix je fais c'que je peux ok.				
LAVAMOAI_DIALOG_007	<sketchy>Lava Moai	Well I hope you dash skill is sharp 'cause you'll need it.	Ben j'espère que tu maîtrise le dash parce que t'en auras besoin.				
LAVAMOAI_DIALOG_008	<sketchy>Lava Moai	Remember you can dash by pressing {STRAF_LEFT} or {STRAF_RIGHT} in or out of a rail.	Oublie pas que tu peux dasher en appuyant sur {STRAF_LEFT} ou {STRAF_RIGHT} pour monter ou descendre d'un rail.				
LAVAMOAI_DIALOG_009	<sketchy>Sonki	I'll Keep it in mind. Thx	J'garde ça en tête merci.				
LAVAMOAI_DIALOG_010	<sketchy>Lava Moai	Also if you press {REVERSE_GRIND} on a rail you can change direction.	Au fait, si tu appuie sur {REVERSE_GRIND} sur un rail, tu peux changer de direction.				
LAVAMOAI_DIALOG_011	<sketchy>Sonki	Alright dude I get it bye.	Oui bah c'est bon j'ai compris.				
							
LAVAMOAI_DIALOG_012	<sketchy>Lava Moai	Remember dash by pressing {STRAF_LEFT} or {STRAF_RIGHT} and  {REVERSE_GRIND}  to change direction on a rail.	Oublie pas que tu peux dasher en appuyant sur {STRAF_LEFT} ou {STRAF_RIGHT} et changer direction en appuyant sur {REVERSE_GRIND}.	to update			
							
TRILILI_DEMO							
TRILILI_DEMO_DIALOG_001	<sketchy>Trilili	Hi! Thanks for playing <wave>Sonki's Lagoon Demo!</>	Salut ! Merci d'avoir joué à la démo de <wave>Sonki's Lagoon !</>				
TRILILI_DEMO_DIALOG_002	<sketchy>Trilili	If you enjoyed your time spent here please wishlisht the game on steam!	Si tu t'es amusé, n'hésites pas à ajouter le jeu à ta liste de souhaits Steam !				
TRILILI_DEMO_DIALOG_003	<sketchy>Trilili	As a Solodev your support means a lot!	En tant que développeur solo, ton soutien m'aide beaucoup.				
TRILILI_DEMO_DIALOG_004	<sketchy>Trilili	Also if you have time you can answer the survey to help me out!	Si tu veux, tu peux même répondre à un questionnaire pour m'aider à améliorer le jeu !				
TRILILI_DEMO_DIALOG_005	<sketchy>Trilili	Again thank you for playing the demo even though it's not over yet!	Encore merci d'avoir joué à la démo.				
TRILILI_DEMO_DIALOG_006	<sketchy>Trilili	In this level you can get 2 additionnal abilities to play with!	Dans cette dernière zone, tu peux obtenir deux nouvelles compétences avec lesquelles t'amuser !				
TRILILI_DEMO_DIALOG_007	<sketchy>Trilili	You'll need them to find the 3 Hidden Johnnies!	Elles te permettront de trouver les 3 Johnnies cachés !				
TRILILI_DEMO_DIALOG_008	<sketchy>Trilili	After that you'll be done for good... unless theres other secrets to find. :)	Après ça tu auras tout complété... à moins qu'il ne te reste des secrets à découvrir. :)				
TRILILI_DEMO_DIALOG_009	<sketchy>Sonki	Done breaking the 4th wall Trilili?	C'est bon t'as fini de briser le 4e mur ?				
TRILILI_DEMO_DIALOG_010	<sketchy>Trilili	Shut up Sonki I'm advertising the game!	Chut ! Laisse moi promouvoir du jeu !				
